title,authors_name,auths_institution,auths_per_institution,abstract,location,pub_date,citation_nbres,download_nbres,dio
Application of Blockchain Technology in Oil and Gas Industry,"Jian Sun,Gufan Zhao,Ruiyao Wang","Sinopec Research Institute of Petroleum Engineering,Sinopec Research Institute of Petroleum Engineering,Sinopec Research Institute of Petroleum Engineering","(Jian Sun) FROM (Sinopec Research Institute of Petroleum Engineering),(Gufan Zhao) FROM (Sinopec Research Institute of Petroleum Engineering),(Ruiyao Wang) FROM (Sinopec Research Institute of Petroleum Engineering)","Distributed ledger, also known as blockchain technology, or BT for short, is an Internet database technology, which is characterized by decentralization, openness and transparency, allowing everyone to keep records in a database. It is an emerging technology that has set off a wave of global investment after big data, cloud computing, artificial intelligence, etc. As the underlying technology of Bitcoin, blockchain technology is an Internet database technology which is essentially to record data and contracts along the time axis. This technology has already brought tremendous changes in finance, security and other fields, and is expected to do the same in the oil and gas industry. With oil and gas exploration and development undergoing digital transformation, blockchain technology is one of the most promising digital technologies.",China,20 July 2021,0,241,https://doi.org/10.1145/3460537.3460538
Blockchain Technology as an Approach for Data Marketplaces,"Sebastian Lawrenz,Priyanka Sharma,Andreas Rausch","Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal-Zellerfeld,Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal-Zellerfeld,Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal-Zellerfeld","(Sebastian Lawrenz) FROM (Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal-Zellerfeld),(Priyanka Sharma) FROM (Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal-Zellerfeld),(Andreas Rausch) FROM (Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal-Zellerfeld)","In the digital Economy 'Data is the new oil. In the last decade technology has disrupted every filed imaginable. One such booming technology is Blockchain. A blockchain is essentially a distributed database of records or public ledger of all transactions or digital events that have been executed and shared among participating parties. And once entered, the information is immutable. Ongoing projects and prior work in the fields of big data, data mining and data science has revealed how relevant data can be used to enhance products and services. There are uncountable applications and advantages of relevant data. The most valuable companies of today treat data as a commodity, which they trade and earn revenues.",Germany,15 March 2019,10,"1,308",https://doi.org/10.1145/3320154.3320165
Blockchain-based Supply Chain Financial Services Using Smart Contract,Xiaocong Yu,"College of Science, Hubei University of Technology","(Xiaocong Yu) FROM (College of Science, Hubei University of Technology)","Supply chain finance (SCF), a proposal to address financing problems of small and medium enterprises (SMEs), aims to make working capital optimized by utilizing credit and transaction information through cooperation between upstream and downstream in the supply chain. But some demerits such as information asymmetry and the lack of trust in financing scenarios could still be witnessed in supply chain finance. Blockchain technology, with the characteristics of asymmetric encryption, decentralization, nonrepudiation, and conducting transactions without the supervision of a trusted third party, has revolved multiple stages of development. Smart contracts are regarded as an important derivative technology of blockchain, which are automatically executed by the code between multiple parties through the blockchain without relying on a trusted institution. In this paper, we propose a blockchain-based supply chain financial system combining smart contracts and main methods of supply chain financing to solve the disadvantages of SCF. We select three represented financing modes to design financing platforms with the introduction of smart contracts, and present our schemes in the form of specific pseudo code. All financing processes of supply chain are conducted on the basis of ethereum blockchain. This allows SMEs which have difficulty in capital turnover in the short term, or have insufficient credit to get financial loans more easily compared with traditional financing approaches due to merits of blockchain, and also this could facilitate supply chain to improve financing efficiency for SMEs.",China,25 February 2022,0,119,https://doi.org/10.1145/3510487.3510497
A Time-Segmented Consortium Blockchain for Robotic Event Registration,"Vasco Ferrinho Lopes,Nuno Pereira,Miguel Ivo Fernandes,Luís A Alexandre","University of Beira Interior,INSTITUTO ITALIANO DE TECNOLOGIA,University of Beira Interior,University of Beira Interior","(Vasco Ferrinho Lopes) FROM (University of Beira Interior),(Nuno Pereira) FROM (INSTITUTO ITALIANO DE TECNOLOGIA),(Miguel Ivo Fernandes) FROM (University of Beira Interior),(Luís A Alexandre) FROM (University of Beira Interior)","A blockchain, during its lifetime, records large amounts of data. In a robotics environment, the old information is useful for human evaluation, or to perform analysis, but it is not useful for robots that require only current information to continue their work. This causes a storage problem in Blockchain nodes as in the case of nodes attached to robots that are usually built around embedded solutions. This paper presents a time-segmentation solution for devices with limited storage capacity, integrated into a particular robot-directed Blockchain called RobotChain. The experiments conducted show that the goal of restricting each node's capacity is reached without compromising all the benefits that arise from the use of Blockchains in these contexts and it allows for cheap nodes to use this Blockchain, reducing storage costs and allowing faster deployment of new nodes.",PT,20 July 2021,0,177,https://doi.org/10.1145/3460537.3460557
A Time-Segmented Consortium Blockchain for Robotic Event Registration,"Vasco Ferrinho Lopes,Nuno Pereira,Miguel Ivo Fernandes,Luís A Alexandre","University of Beira Interior,INSTITUTO ITALIANO DE TECNOLOGIA,University of Beira Interior,University of Beira Interior","(Vasco Ferrinho Lopes) FROM (University of Beira Interior),(Nuno Pereira) FROM (INSTITUTO ITALIANO DE TECNOLOGIA),(Miguel Ivo Fernandes) FROM (University of Beira Interior),(Luís A Alexandre) FROM (University of Beira Interior)","A blockchain, during its lifetime, records large amounts of data. In a robotics environment, the old information is useful for human evaluation, or to perform analysis, but it is not useful for robots that require only current information to continue their work. This causes a storage problem in Blockchain nodes as in the case of nodes attached to robots that are usually built around embedded solutions. This paper presents a time-segmentation solution for devices with limited storage capacity, integrated into a particular robot-directed Blockchain called RobotChain. The experiments conducted show that the goal of restricting each node's capacity is reached without compromising all the benefits that arise from the use of Blockchains in these contexts and it allows for cheap nodes to use this Blockchain, reducing storage costs and allowing faster deployment of new nodes.",PT,20 July 2021,0,177,https://doi.org/10.1145/3460537.3460557
DeExam: A Decentralized Exam Administration Model using Public Blockchain,"Yusuke Kaneko,Shuntaro Tanaka,Tomoyuki Kimura,Jun Okumura,Shigeyuki Azuchi,Shigeyuki Osada","The Japan Research Institute,Ltd.,The Japan Research Institute,Ltd.,Sumitomo Mitsui Financial Group,Inc.,HAW International Inc.,chaintope Inc.,The Japan Research Institute,Ltd. and Okayama University","(Yusuke Kaneko) FROM (The Japan Research Institute,Ltd.),(Shuntaro Tanaka) FROM (The Japan Research Institute,Ltd.),(Tomoyuki Kimura) FROM (Sumitomo Mitsui Financial Group,Inc.),(Jun Okumura) FROM (HAW International Inc.),(Shigeyuki Azuchi) FROM (chaintope Inc.),(Shigeyuki Osada) FROM (The Japan Research Institute,Ltd. and Okayama University)","In exams, which are intended to evaluate capability, it is practically difficult to detect errors or mistakes made by test providers and scorers, as the correct/incorrect decision logic is often not disclosed. Therefore, we propose a sustainable exam administration model with enhanced reliability and transparency, utilizing a public blockchain, without a centralized authority. The blockchain records the hash values of the correct answers, decision condition, and decision result, which cannot be tampered with afterward. We implemented our proposed method using Bitcoin Core and used it to conduct a CTF (Capture The Flag) competition with over 100 participants. No fatal flaws were observed, thereby confirming the viability of the method.",Japan,02 October 2021,0,136,https://doi.org/10.1145/3475992.3475993
Increasing the Confidence of the Brazilian Livestock Production Chain using Blockchain,"Vasco V Picchi,Eduardo F De Castro,Fernando C Marino,Sérgio L Ribeiro","Safe Trace, Itajubá, MG,CPQD, Campinas, SP,CPQD, Campinas, SP,CPQD, Campinas, SP","(Vasco V Picchi) FROM (Safe Trace, Itajubá, MG),(Eduardo F De Castro) FROM (CPQD, Campinas, SP),(Fernando C Marino) FROM (CPQD, Campinas, SP),(Sérgio L Ribeiro) FROM (CPQD, Campinas, SP)","This paper presents the application of the blockchain technology to the traceability problem in the production chain of Brazilian livestock. First, the context is introduced and the socio-environmental challenges are presented. A new methodology, Context-Based Blockchain Platform Definition and Analysis Methodology (MetaBlockX), is explained, showing how it was applied to the problem and the result obtained, which indicates the platform for the development of blockchain applications that has more adherences to the Positive Livestock Project's context. Then, the solution is presented, followed by the scenario description, the conclusions and further work.",Brazil,20 March 2020,0,185,https://doi.org/10.1145/3376044.3376058
A Survey of Blockchain Based on E-voting Systems,"Yousif Abuidris,Rajesh Kumar,Wang WenYong","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu,School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu,School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu","(Yousif Abuidris) FROM (School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu),(Rajesh Kumar) FROM (School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu),(Wang WenYong) FROM (School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu)","Blockchain technology as a decentralized and distributed public ledger in a P2P network has recently gained much attention. In this technology, a linked block structure is applied, and a trusted consensus mechanism is established to synchronize data modifications, making it possible to develop a tamper-proof digital platform for data storage and sharing. We think that blockchain could be used in various interactive online systems, such as the Internet of Things, supply chain systems, voting systems, etc. The scope of this survey is to shed light on some recent contributions of the security and privacy issues associated with e-voting based on blockchain. At the end of this paper, we provided a comparison for the security and privacy requirements of the existing e-voting systems based on blockchain.",china,20 March 2020,0,"1,299",https://doi.org/10.1145/3376044.3376060
An Anonymous Transmission Algorithm Named Ripple Spreading for Blockchain,"Yongwang Zhou,Zhuchao Yu,Yixiao Lan,Yuxin Guo,Ruinan Chen","Software College, Northeastern University,School of Business Administration, Northeastern University,School of Computer Science and Engineering, Northeastern University,School of Business Administration, Northeastern University,School of Business Administration, Northeastern University","(Yongwang Zhou) FROM (Software College, Northeastern University),(Zhuchao Yu) FROM (School of Business Administration, Northeastern University),(Yixiao Lan) FROM (School of Computer Science and Engineering, Northeastern University),(Yuxin Guo) FROM (School of Business Administration, Northeastern University),(Ruinan Chen) FROM (School of Business Administration, Northeastern University)","The emergence of blockchain technology profoundly reflects the importance of anonymity in personal data and personal identity. In this paper, we propose an anonymous transmission algorithm named ripple spreading specialized in anonymous payment in the blockchain network. The algorithm achieves the purpose of anonymous transmission by transmitting verification while jumping among multiple nodes, thereby, overcomes the defect of the lack of covert channel characteristics under the web environment. We firstly demonstrate the framework of our algorithm. Subsequently, we illustrate the converging and merging process of transmission in detail, and lastly, give a quantitative evaluation of this algorithm. The result of the experiment shows that once the number of paths as well as the average path length reaches a threshold, our algorithm can solve the main problem of anonymous transmission to a great extent and improve the anonymity function significantly.",China,29 May 2020,1,141,https://doi.org/10.1145/3390566.3391682
Blockchain Adoption for Plea Bargaining of Corporate Crime in Indonesia,"Henry Dianto Sinaga,Andhy H Bolifaar","Diponegoro University, Semarang, Jawa Tengah,Diponegoro University, Semarang, Jawa Tengah","(Henry Dianto Sinaga) FROM (Diponegoro University, Semarang, Jawa Tengah),(Andhy H Bolifaar) FROM (Diponegoro University, Semarang, Jawa Tengah)","The rise of corporate crime cases now shows that the handling has not found the right model, even though so far there has been a concept of legal settlement outside the court, otherwise known as plea bargaining. In addition to those who support, there are criticisms of the use of plea bargaining (such as too much discretion of prosecutors in plea bargaining, lack of legal substance that limits the possibility of abuse of authority by law enforcement officials, and the possibility of guilty plea not yet actual), but this criticism can be refuted through the use of blockchain technology in the mechanism of plea bargaining. In Indonesia, the regulation of the bargaining of corporate crime plea is still limited to the draft law. In fact, the draft is still not in accordance with the spirit of plea bargaining itself, such as the defendant whose plea bargaining application was received must still be tried through a short event examination, it does not regulate which types of criminal acts are categorized as special lines, bidding restrictions or negotiations between the defendant and the claimant general, and what form of waivers or rewards or concessions can be offered by public prosecutors. This shows the importance and urgency to build a transparent, efficient, fast and inexpensive plea bargaining model in Indonesia through the use of blockchain technology. In addition, the use of blockchain technology can provide adequate outputs and outcomes in dealing with corporate crime, because any data, information, complaints, and reports that are inputted based on each block will be automatically integrated into the fairness, legal certainty, and public benefit values as an independent and accountable decisionmaking tool for the authorities.",Indonesia,29 May 2020,0,145,https://doi.org/10.1145/3390566.3391680
CoVID-19 Vaccination Certificate Supply Verification Based on Blockchain,"Yash Madhwal,Yury A Yanovich,Ilya Chumakov","Center for Computational andData-Intensive Science and Engineering, Skolkovo Institute of Science and technology,Center for Computational andData-Intensive Science and Engineering, Skolkovo Institute of Science and technology,Liebherr","(Yash Madhwal) FROM (Center for Computational andData-Intensive Science and Engineering, Skolkovo Institute of Science and technology),(Yury A Yanovich) FROM (Center for Computational andData-Intensive Science and Engineering, Skolkovo Institute of Science and technology),(Ilya Chumakov) FROM (Liebherr)","The emergence of the pandemic, Covid-19, impacted the worldwide economy. The daily scientific development helped in creating a vaccine against the virus. In order to limit the spread of the virus, government authorities are making it mandatory for vaccination certificates for people to run businesses or access public facilities like theaters, restaurants, etc. The government mandate of vaccine certificates compelled people to purchase fake certificates and fake entities to provide fake certificates. This paper provides an application-based blockchain solution for registering vaccinating authorities to vaccinate and provides relevant vaccine certificates that anyone can verify in no time. Additionally, analysis of data retrieving from the blockchain is provided because the data reading will be happening by thousands of authorities. The code for the prototype application is available on Github.",Russia,25 February 2022,0,74,https://doi.org/10.1145/3510487.3510500
Consensus in Blockchain Systems with Low Network Throughput: A Systematic Mapping Study,"Henrik Knudsen,Jakob Svennevik Notland,Peter Halland Haro,Truls Bakkejord Ræder,Jingyue Li","Norwegian University of Science and Technology,Norwegian University of Science and Technology,Sintef Nord,Sintef Nord,Norwegian University of Science and Technology","(Henrik Knudsen) FROM (Norwegian University of Science and Technology),(Jakob Svennevik Notland) FROM (Norwegian University of Science and Technology),(Peter Halland Haro) FROM (Sintef Nord),(Truls Bakkejord Ræder) FROM (Sintef Nord),(Jingyue Li) FROM (Norwegian University of Science and Technology)","Blockchain technologies originate from cryptocurrencies. Thus, most blockchain technologies assume an environment with a fast and stable network. However, in some blockchain-based systems, e.g., supply chain management (SCM) systems, some Internet of Things (IoT) nodes can only rely on the low-quality network sometimes to achieve consensus. Thus, it is critical to understand the applicability of existing consensus algorithms in such environments. We performed a systematic mapping study to evaluate and compare existing consensus mechanisms’ capability to provide integrity and security with varying network properties. Our study identified 25 state-of-the-art consensus algorithms from published and preprint literature. We categorized and compared the consensus algorithms qualitatively based on established performance and integrity metrics and well-known blockchain security issues. Results show that consensus algorithms that rely on synchronous network for correctness cannot provide the expected integrity. Such consensus algorithms may also be vulnerable to distributed-denial-of-service (DDOS) and routing attacks, given limited network throughput. Conversely, asynchronous consensus algorithms, e.g., Honey-BadgerBFT, are deemed more robust against many of these attacks and may provide high integrity in asynchronous events.",Norway,02 October 2021,0,129,https://doi.org/10.1145/3475992.3475995
Creating Lean and Agile Supply Chains with Blockchain,"Ruijuan Zhao,Jay Bal,Xiao Ma","Shanghai University of Political Science and Law,University of Warwick,University of Warwick","(Ruijuan Zhao) FROM (Shanghai University of Political Science and Law),(Jay Bal) FROM (University of Warwick),(Xiao Ma) FROM (University of Warwick)","This paper aims to explore how blockchain technology can help us to achieve supply chains that are agile but also lean, which is also demanded by the modern business environment. A role playing simulation was used to evaluate the benefits provided by different levels of visibility in a typical supply chain. A distributed ledger enabling supply chain visibility was designed. A supply chain performance framework was developed in order to measure the supply chain performance from both lean and agile aspects. The results show a significant correlation in performance with the degree of visibility, but it is not a linear relationship. An effective LeAgile supply chain can be achieved with the enhancement of visibility. In order to implement visibility, an appropriate information sharing frequency (drumbeat) is needed. Blockchain allows users to more securely and transparently track all types of transactions, to improve Supply Chain Visibility. We also find the complex relationship between trust and visibility. This is one of the first papers, taking human factors into consideration, to investigate how blockchain technology can be used to enhance supply chain visibility, which is needed for leagile supply chain performance.",UK,20 July 2021,0,189,https://doi.org/10.1145/3460537.3460558
Creating Lean and Agile Supply Chains with Blockchain,"Ruijuan Zhao,Jay Bal,Xiao Ma","Shanghai University of Political Science and Law,University of Warwick,University of Warwick","(Ruijuan Zhao) FROM (Shanghai University of Political Science and Law),(Jay Bal) FROM (University of Warwick),(Xiao Ma) FROM (University of Warwick)","This paper aims to explore how blockchain technology can help us to achieve supply chains that are agile but also lean, which is also demanded by the modern business environment. A role playing simulation was used to evaluate the benefits provided by different levels of visibility in a typical supply chain. A distributed ledger enabling supply chain visibility was designed. A supply chain performance framework was developed in order to measure the supply chain performance from both lean and agile aspects. The results show a significant correlation in performance with the degree of visibility, but it is not a linear relationship. An effective LeAgile supply chain can be achieved with the enhancement of visibility. In order to implement visibility, an appropriate information sharing frequency (drumbeat) is needed. Blockchain allows users to more securely and transparently track all types of transactions, to improve Supply Chain Visibility. We also find the complex relationship between trust and visibility. This is one of the first papers, taking human factors into consideration, to investigate how blockchain technology can be used to enhance supply chain visibility, which is needed for leagile supply chain performance.",UK,20 July 2021,0,189,https://doi.org/10.1145/3460537.3460558
