,Unnamed: 0,Document Title,Authors,Author Affiliations,Universities,Publication Year,Abstract,ISSN,ISBNs,DOI,Article Citation Count,Patent Citation Count,Publisher
16,16,A Tractable Probabilistic Approach to Analyze Sybil Attacks in Sharding-Based Blockchain Protocols,A. Hafid; A. S. Hafid; M. Samih,Morocco,"['University of Montreal', 'University of Moulay Ismail']",2022.0,"Blockchain like Bitcoin and Ethereum suffer from scalability issues. Sharding is one of the most promising and leading solutions to scale blockchain. The basic idea behind sharding is to divide the blockchain network into multiple committees, where each processing a separate set of transactions, rather than the entire network processes all transactions. In this paper, we propose a probabilistic approach to analyze the security of sharding-based blockchain protocols. Based on this approach, we investigate the threat of Sybil attacks in these protocols. The key contribution of our paper is a tractable probabilistic approach to accurately compute the failure probability that at least one committee fails and ultimately compute the probability of a successful attack. To show the effectiveness of our approach, we conduct a numerical and comparative analysis of the proposed approach with existing approaches.",2168-6750,,10.1109/TETC.2022.3179638,1.0,,IEEE
17,17,A Tractable Probabilistic Approach to Analyze Sybil Attacks in Sharding-Based Blockchain Protocols,A. Hafid; A. S. Hafid; M. Samih,Canada,"['University of Montreal', 'University of Moulay Ismail']",2022.0,"Blockchain like Bitcoin and Ethereum suffer from scalability issues. Sharding is one of the most promising and leading solutions to scale blockchain. The basic idea behind sharding is to divide the blockchain network into multiple committees, where each processing a separate set of transactions, rather than the entire network processes all transactions. In this paper, we propose a probabilistic approach to analyze the security of sharding-based blockchain protocols. Based on this approach, we investigate the threat of Sybil attacks in these protocols. The key contribution of our paper is a tractable probabilistic approach to accurately compute the failure probability that at least one committee fails and ultimately compute the probability of a successful attack. To show the effectiveness of our approach, we conduct a numerical and comparative analysis of the proposed approach with existing approaches.",2168-6750,,10.1109/TETC.2022.3179638,1.0,,IEEE
18,18,Immutable Log Storage as a Service on Private and Public Blockchains,W. Pourmajidi; L. Zhang; J. Steinbacher; T. Erwin; A. Miranskyy,Canada,['Ryerson University'],2021.0,"Service Level Agreements (SLA) are employed to ensure the performance of Cloud solutions. When a component fails, the importance of logs increases significantly. All departments may turn to logs to determine the cause of the issue and find the party at fault. The party at fault may be motivated to tamper with the logs to hide their role. We argue that the critical nature of logs calls for immutability and verification mechanism without a single trusted party. This paper proposes such a mechanism by describing a blockchain-based log system, called Logchain, which integrates with existing private and public blockchain solutions. Logchain uses the immutability of blockchain to provide a tamper-resistance platform for log storage. Additionally, we propose a hierarchical structure to address blockchains' scalability issues. To validate the mechanism, we integrate Logchain into Ethereum and IBM Blockchain. We assess the solution's scalability and analyze the cost of ownership, helping readers select a feasible solution. The Logchain's scalability improvement on a blockchain is achieved without any alteration of blockchains' fundamental architecture. As shown in this work, it can function on private and public blockchains and, therefore, can be a suitable alternative for organizations that need a secure, immutable log storage platform.",1939-1374,,10.1109/TSC.2021.3120690,1.0,,IEEE
19,19,Immutable Log Storage as a Service on Private and Public Blockchains,W. Pourmajidi; L. Zhang; J. Steinbacher; T. Erwin; A. Miranskyy,United States,['Ryerson University'],2021.0,"Service Level Agreements (SLA) are employed to ensure the performance of Cloud solutions. When a component fails, the importance of logs increases significantly. All departments may turn to logs to determine the cause of the issue and find the party at fault. The party at fault may be motivated to tamper with the logs to hide their role. We argue that the critical nature of logs calls for immutability and verification mechanism without a single trusted party. This paper proposes such a mechanism by describing a blockchain-based log system, called Logchain, which integrates with existing private and public blockchain solutions. Logchain uses the immutability of blockchain to provide a tamper-resistance platform for log storage. Additionally, we propose a hierarchical structure to address blockchains' scalability issues. To validate the mechanism, we integrate Logchain into Ethereum and IBM Blockchain. We assess the solution's scalability and analyze the cost of ownership, helping readers select a feasible solution. The Logchain's scalability improvement on a blockchain is achieved without any alteration of blockchains' fundamental architecture. As shown in this work, it can function on private and public blockchains and, therefore, can be a suitable alternative for organizations that need a secure, immutable log storage platform.",1939-1374,,10.1109/TSC.2021.3120690,1.0,,IEEE
20,20,GpDB: A Graph-partition Based Storage Strategy for DAG-Blockchain in Edge-cloud IIoT,Z. Liao; S. Cheng; J. Zhang; W. Wu; J. Wang; P. K. Sharma,China,"['410114 Changsha University of Science and Technology', '41011 University of Aberdeen']",2022.0,"The industrial Internet-of-things (IIoT) has attracted extensive attention due to its real-time and automation characteristics. Edge computing and blockchain technologies facilitate the IIoT in terms of low latency services and data security respectively. However, with the continuous expansion of industrial data and the growth of industrial nodes, traditional blockchain technology has some critical limitations on low transaction throughput and high data storage costs. Directed Acyclic Graph (DAG)-blockchain adopts a graph structure of a single transaction as the basic unit, and it has the characteristics of asynchronous consensus. Some existing studies use DAGblockchain to replace the traditional blockchain to alleviate its low throughput problems like IOTA. However, with the rapid data generation in the IIoT environment, the topology scale of DAG-blockchain will increase sharply, which will aggravate the data storage cost of blockchain nodes. In this article, to reduce the data storage cost of edge servers, we design a Graphpartition based storage strategy for DAG-Blockchain (GpDB), equipped with a graph partition algorithm based on transaction freshness, which can partition DAG-blockchain topology in edge servers into two parts, which will be retained and removed respectively. Simulation shows that, in terms of storage cost, GpDB outperforms LDV and Layerchain by 62% and 74% respectively, and with the increasing number of transactions, GpDB has good scalability in reducing the storage cost, and better transaction throughput than IOTA.",1941-0050,,10.1109/TII.2022.3162201,,,IEEE
21,21,GpDB: A Graph-partition Based Storage Strategy for DAG-Blockchain in Edge-cloud IIoT,Z. Liao; S. Cheng; J. Zhang; W. Wu; J. Wang; P. K. Sharma,United States,"['410114 Changsha University of Science and Technology', '41011 University of Aberdeen']",2022.0,"The industrial Internet-of-things (IIoT) has attracted extensive attention due to its real-time and automation characteristics. Edge computing and blockchain technologies facilitate the IIoT in terms of low latency services and data security respectively. However, with the continuous expansion of industrial data and the growth of industrial nodes, traditional blockchain technology has some critical limitations on low transaction throughput and high data storage costs. Directed Acyclic Graph (DAG)-blockchain adopts a graph structure of a single transaction as the basic unit, and it has the characteristics of asynchronous consensus. Some existing studies use DAGblockchain to replace the traditional blockchain to alleviate its low throughput problems like IOTA. However, with the rapid data generation in the IIoT environment, the topology scale of DAG-blockchain will increase sharply, which will aggravate the data storage cost of blockchain nodes. In this article, to reduce the data storage cost of edge servers, we design a Graphpartition based storage strategy for DAG-Blockchain (GpDB), equipped with a graph partition algorithm based on transaction freshness, which can partition DAG-blockchain topology in edge servers into two parts, which will be retained and removed respectively. Simulation shows that, in terms of storage cost, GpDB outperforms LDV and Layerchain by 62% and 74% respectively, and with the increasing number of transactions, GpDB has good scalability in reducing the storage cost, and better transaction throughput than IOTA.",1941-0050,,10.1109/TII.2022.3162201,,,IEEE
22,22,GpDB: A Graph-partition Based Storage Strategy for DAG-Blockchain in Edge-cloud IIoT,Z. Liao; S. Cheng; J. Zhang; W. Wu; J. Wang; P. K. Sharma,Co,"['410114 Changsha University of Science and Technology', '41011 University of Aberdeen']",2022.0,"The industrial Internet-of-things (IIoT) has attracted extensive attention due to its real-time and automation characteristics. Edge computing and blockchain technologies facilitate the IIoT in terms of low latency services and data security respectively. However, with the continuous expansion of industrial data and the growth of industrial nodes, traditional blockchain technology has some critical limitations on low transaction throughput and high data storage costs. Directed Acyclic Graph (DAG)-blockchain adopts a graph structure of a single transaction as the basic unit, and it has the characteristics of asynchronous consensus. Some existing studies use DAGblockchain to replace the traditional blockchain to alleviate its low throughput problems like IOTA. However, with the rapid data generation in the IIoT environment, the topology scale of DAG-blockchain will increase sharply, which will aggravate the data storage cost of blockchain nodes. In this article, to reduce the data storage cost of edge servers, we design a Graphpartition based storage strategy for DAG-Blockchain (GpDB), equipped with a graph partition algorithm based on transaction freshness, which can partition DAG-blockchain topology in edge servers into two parts, which will be retained and removed respectively. Simulation shows that, in terms of storage cost, GpDB outperforms LDV and Layerchain by 62% and 74% respectively, and with the increasing number of transactions, GpDB has good scalability in reducing the storage cost, and better transaction throughput than IOTA.",1941-0050,,10.1109/TII.2022.3162201,,,IEEE
23,23,GpDB: A Graph-partition Based Storage Strategy for DAG-Blockchain in Edge-cloud IIoT,Z. Liao; S. Cheng; J. Zhang; W. Wu; J. Wang; P. K. Sharma,Ireland,"['410114 Changsha University of Science and Technology', '41011 University of Aberdeen']",2022.0,"The industrial Internet-of-things (IIoT) has attracted extensive attention due to its real-time and automation characteristics. Edge computing and blockchain technologies facilitate the IIoT in terms of low latency services and data security respectively. However, with the continuous expansion of industrial data and the growth of industrial nodes, traditional blockchain technology has some critical limitations on low transaction throughput and high data storage costs. Directed Acyclic Graph (DAG)-blockchain adopts a graph structure of a single transaction as the basic unit, and it has the characteristics of asynchronous consensus. Some existing studies use DAGblockchain to replace the traditional blockchain to alleviate its low throughput problems like IOTA. However, with the rapid data generation in the IIoT environment, the topology scale of DAG-blockchain will increase sharply, which will aggravate the data storage cost of blockchain nodes. In this article, to reduce the data storage cost of edge servers, we design a Graphpartition based storage strategy for DAG-Blockchain (GpDB), equipped with a graph partition algorithm based on transaction freshness, which can partition DAG-blockchain topology in edge servers into two parts, which will be retained and removed respectively. Simulation shows that, in terms of storage cost, GpDB outperforms LDV and Layerchain by 62% and 74% respectively, and with the increasing number of transactions, GpDB has good scalability in reducing the storage cost, and better transaction throughput than IOTA.",1941-0050,,10.1109/TII.2022.3162201,,,IEEE
24,24,DS2PM:A Data Sharing Privacy Protection Model Based on Blockchain and Federated Learning,Y. Chen; J. Li; F. Wang; K. Yue; Y. Li; B. Xing; L. Zhang; L. Chen,China,['Sichuan University'],2021.0,"With the development of big data and blockchain, an increasing number of scholars have begun to study blockchain for data sharing. By studying data sharing models that are based on blockchain, we find that almost all of them have the following problems: 1). It is difficult to protect the privacy and integrity of users’ data, along with users’ data ownership. 2). The storage burden of blockchain is heavy, and blockchain lacks a mechanism for dealing with data with diverse types and inconsistent formats. 3). The consensus mechanism has low fairness or low efficiency. Therefore, we propose a data sharing privacy protection model (DS2PM) that is based on blockchain and a federated learning mechanism for solving these problems. The safety analysis and experimental results show that the DS2PM outperforms the previously established schemes.",2327-4662,,10.1109/JIOT.2021.3134755,2.0,,IEEE
25,25,"Protecting Vaccine Safety: An Improved, Blockchain-Based, Storage-Efficient Scheme",L. Cui; Z. Xiao; F. Chen; H. Dai; J. Li,China,"['Shenzhen University', 'Nanjing University of Posts and Telecommunications']",2022.0,"In recent years, vaccine safety incidents have occurred frequently. To protect vaccine safety, researchers have proposed to use blockchain to secure the vaccine circulation process. Technically, blockchain has some limitations in solving vaccine and other supply chain problems, such as large on-chain storage consumption and low throughput. To better alleviate these restrictions, we propose an improved, blockchain-based, storage-efficient vaccine safety protection scheme in this work. Specifically, we first model the vaccine circulation process. We then design a system to protect vaccine circulation using blockchain, cloud, and cryptographic mechanisms. The proposed system leverages the cloud to implement the vaccine circulation model. Correspondingly, it uses the blockchain to store circulating data certificates and signatures. We evaluated the proposed conceptual model using a consortium blockchain. The experimental results show that the proposed system is efficient.",2168-2275,,10.1109/TCYB.2022.3163743,,,IEEE
